ngsl_rank,ngsl_band,term,phonetic,definition_vi,part_of_speech,all_pos,level,track,is_function_word,family_size,word_family,needs_review
75,1000,look,/lʊk/,"nhìn, xem, trông có vẻ",Verb,Noun|Verb,A1,Kids,0,4,looks looked looking,0
76,1000,want,/wɑːnt/,"muốn, mong muốn, cần",Verb,Noun|Verb,A1,Kids,0,5,wants wanted wanting wanna,0
77,1000,give,/ɡɪv/,"cho, đưa, tặng, trao",Verb,Verb|Noun,A1,Kids,0,5,gives gave giving given,0
78,1000,first,/fɜːrst/,"đầu tiên, thứ nhất, trước hết",Adjective,Adjective|Noun|Adverb,A1,Kids,0,2,firsts,0
79,1000,new,/nuː/,"mới, mới mẻ, mới lạ",Adjective,Adjective|Adverb,A1,Kids,0,3,newer newest,0
80,1000,way,/weɪ/,"cách, cách thức, con đường",Noun,Noun,A1,Kids,0,2,ways,0
81,1000,find,/faɪnd/,"tìm, tìm thấy, phát hiện",Verb,Noun|Verb,A1,Kids,0,4,finds finding findings,0
82,1000,over,/ˈoʊvər/,"trên, phía trên, hơn, quá",Preposition,Preposition|Noun|Adverb|Adjective,A1,Grammar,1,2,overs,0
83,1000,any,/ˈɛni/,"bất kỳ, nào, một chút nào",Determiner,Determiner|Adjective|Pronoun|Adverb,A1,Grammar,1,1,,0
84,1000,after,/ˈæftər/,"sau, sau khi, phía sau",Preposition,Adverb|Preposition|Conjunction|Adjective,A1,Grammar,1,1,,0
85,1000,day,/deɪ/,"ngày, ngày tháng, ban ngày",Noun,Noun,A1,Kids,0,2,days,0
86,1000,where,/wɛr/,"ở đâu, nơi mà, chỗ nào",Adverb,Conjunction|Adverb|Pronoun|Noun,A1,Kids,0,1,,0
87,1000,thing,/θɪŋ/,"vật, đồ vật, sự việc, điều",Noun,Noun,A1,Kids,0,2,things,0
88,1000,most,/moʊst/,"nhiều nhất, phần lớn, hầu hết",Adjective,Adjective|Adverb|Noun,A1,Kids,0,1,,0
89,1000,should,/ʃʊd/,"nên, phải, cần phải",Auxiliary,Auxiliary,A1,Grammar,1,3,shouldn shoulda,0
90,1000,need,/niːd/,"cần, cần đến, đòi hỏi",Verb,Noun|Verb,A1,Kids,0,4,needs needed needing,0
91,1000,much,/mʌtʃ/,"nhiều, lắm, rất nhiều",Determiner,Determiner|Adjective|Adverb|Noun,A1,Grammar,1,1,,0
92,1000,right,/raɪt/,"đúng, chính xác; bên phải",Adjective,Noun|Adjective|Adverb|Verb,A1,Kids,0,5,rights righted righting righter,1
93,1000,how,/haʊ/,"như thế nào, làm sao, bao nhiêu",Adverb,Adverb|Noun,A1,Kids,0,2,hows,0
94,1000,back,/bæk/,"trở lại, quay lại, lùi về",Adverb,Noun|Adjective|Adverb|Verb,A1,Kids,0,4,backs backed backing,0
95,1000,mean,/miːn/,"có nghĩa là, ám chỉ, định nói",Verb,Noun|Adjective|Verb,A1,Kids,0,7,means meaning meant meanings meaner meanest,0
96,1000,even,/ˈiːvɪn/,"thậm chí, ngay cả, còn",Adverb,Noun|Adjective|Adverb|Verb,A1,Kids,0,3,evens evened,0
97,1000,may,/meɪ/,"có thể, có lẽ, được phép",Auxiliary,Auxiliary|Verb|Noun,A1,Grammar,1,1,,0
98,1000,here,/hiːr/,"ở đây, tại đây, chỗ này",Adverb,Adverb|Noun,A1,Kids,0,1,,0
99,1000,many,/ˈmɛni/,"nhiều, đông, lắm",Determiner,Determiner|Adjective|Noun,A1,Grammar,1,1,,0
100,1000,such,/sʌtʃ/,"như vậy, như thế, đến thế",Determiner,Determiner|Adjective|Noun,A1,Grammar,1,1,,0
101,1000,last,/læst/,"cuối cùng, vừa qua, trước",Adjective,Noun|Adjective|Adverb|Verb,A1,Kids,0,4,lasts lasted lasting,0
102,1000,child,/tʃaɪld/,"đứa trẻ, trẻ em, con",Noun,Noun,A1,Kids,0,2,children,0
103,1000,tell,/tɛl/,"kể, nói, bảo, cho biết",Verb,Verb,A1,Kids,0,4,tells told telling,0
104,1000,really,/ˈrɪli/,"thật sự, quả thực, rất",Adverb,Adverb,A1,Kids,0,1,,0
105,1000,call,/kɔːl/,"gọi, gọi điện, gọi tên",Verb,Noun|Verb,A1,Kids,0,4,calls called calling,0
106,1000,before,/bɪˈfɔːr/,"trước, trước khi, trước đây",Preposition,Adverb|Preposition|Conjunction,A1,Grammar,1,1,,0
107,1000,company,/ˈkʌmpəˌniː/,"công ty, doanh nghiệp, hãng",Noun,Noun|Verb,A1,Kids,0,2,companies,0
108,1000,through,/θruː/,"qua, xuyên qua, thông qua",Preposition,Preposition|Adverb|Adjective,A1,Grammar,1,1,,0
109,1000,down,/daʊn/,"xuống, xuống dưới, đi xuống",Adverb,Adverb|Preposition|Adjective|Verb|Noun,A1,Kids,0,4,downs downed downing,0
110,1000,show,/ʃoʊ/,"cho thấy, trình bày, chỉ ra",Verb,Noun|Verb,A1,Kids,0,5,shows showed showing shown,0
111,1000,life,/laɪf/,"cuộc sống, đời sống, sinh mạng",Noun,Noun,A1,Kids,0,1,,0
112,1000,man,/mæn/,"người đàn ông, con người",Noun,Noun,A1,Kids,0,5,mans manned manning men,0
113,1000,change,/tʃeɪndʒ/,"thay đổi, đổi, biến đổi",Verb,Noun|Verb,A1,Kids,0,4,changes changed changing,0
114,1000,place,/pleɪs/,"nơi, chỗ, địa điểm",Noun,Noun|Verb,A1,Kids,0,4,places placed placing,0
115,1000,long,/lɔːŋ/,"dài, lâu, dài dòng",Adjective,Adjective|Noun|Adverb|Verb,A1,Kids,0,6,longs longed longing longer longest,0
116,1000,between,/bɪˈtwiːn/,"giữa, ở giữa, giữa hai",Preposition,Preposition|Adverb,A1,Grammar,1,1,,0
117,1000,feel,/fiːl/,"cảm thấy, cảm nhận, sờ",Verb,Noun|Verb,A1,Kids,0,5,feels felt feeling feelings,0
118,1000,too,/tuː/,"quá, cũng, cũng vậy",Adverb,Adverb,A1,Kids,0,1,,0
119,1000,still,/stɪl/,"vẫn, vẫn còn, còn",Adverb,Adjective|Adverb|Noun|Verb,A1,Kids,0,6,stills stilled stilling stiller stillest,0
120,1000,problem,/ˈprɑːbləm/,"vấn đề, khó khăn, bài toán",Noun,Noun,A1,Kids,0,2,problems,0
121,1000,write,/raɪt/,"viết, viết ra, sáng tác",Verb,Verb,A1,Kids,0,6,writes wrote writing written writings,0
122,1000,same,/seɪm/,"giống nhau, như nhau, cùng",Adjective,Adjective|Noun|Adverb,A1,Kids,0,1,,0
123,1000,lot,/lɑːt/,"nhiều, số lượng lớn, lô",Noun,Noun|Verb|Adverb,A1,Kids,0,2,lots,0
124,1000,great,/ɡreɪt/,"tuyệt vời, vĩ đại, lớn lao",Adjective,Adjective|Noun,A1,Kids,0,4,greater greatest greats,0
125,1000,try,/traɪ/,"thử, cố gắng, thử nghiệm",Verb,Noun|Verb,A1,Kids,0,4,tries tried trying,0
126,1000,leave,/liːv/,"rời khỏi, ra đi, để lại",Verb,Noun|Verb,A1,Kids,0,5,leaves leaved leaving leavings,0
127,1000,number,/ˈnʌmbər/,"số, con số, số lượng",Noun,Noun|Verb,A1,Kids,0,5,numbers numbered numbering numberings,0
128,1000,both,/boʊθ/,"cả hai, cả hai đều",Pronoun,Pronoun|Noun|Adverb,A1,Grammar,1,1,,0
129,1000,own,/oʊn/,"riêng, của chính mình",Adjective,Adjective|Verb,A1,Kids,0,4,owns owned owning,0
130,1000,part,/pɑːrt/,"phần, bộ phận, phần việc",Noun,Noun|Verb|Adverb,A1,Kids,0,4,parts parted parting,0
131,1000,point,/pɔɪnt/,"điểm, ý chính, quan điểm",Noun,Noun|Verb,A1,Kids,0,4,points pointed pointing,0
132,1000,little,/ˈlɪtəl/,"nhỏ, bé, ít, chút ít",Adjective,Determiner|Adjective|Noun|Adverb,A1,Kids,0,3,littler littlest,0
133,1000,help,/hɛlp/,"giúp, giúp đỡ, hỗ trợ",Verb,Noun|Verb,A1,Kids,0,5,helps helped helping helpings,0
134,1000,ask,/æsk/,"hỏi, yêu cầu, xin",Verb,Verb,A1,Kids,0,4,asks asked asking,0
135,1000,meet,/miːt/,"gặp, gặp gỡ, đáp ứng",Verb,Noun|Verb|Adjective,A1,Kids,0,5,meets meeting met meetings,0
136,1000,start,/stɑːrt/,"bắt đầu, khởi động, khởi hành",Verb,Noun|Verb,A1,Kids,0,4,starts started starting,0
137,1000,talk,/tɔːk/,"nói chuyện, trò chuyện, bàn",Verb,Noun|Verb,A1,Kids,0,4,talks talked talking,0
138,1000,something,/ˈsʌmθɪŋ/,"cái gì đó, điều gì đó, việc gì đó",Pronoun,Pronoun|Noun|Adverb,A1,Grammar,1,1,,0
139,1000,put,/pʊt/,"đặt, để, bỏ vào",Verb,Verb|Noun,A1,Kids,0,4,puts putted putting,0
140,1000,another,/əˈnʌðər/,"khác, một cái khác, thêm một",Adjective,Adjective|Pronoun,A1,Kids,0,1,,0
141,1000,become,/bɪˈkʌm/,"trở thành, trở nên, hóa ra",Verb,Verb,A1,Kids,0,4,becomes became becoming,0
142,1000,interest,/ˈɪntrəst/,"sự quan tâm, hứng thú; tiền lãi",Noun,Noun|Verb,A1,Kids,0,4,interests interested interesting,1
143,1000,country,/ˈkʌntri/,"đất nước, quốc gia, nông thôn",Noun,Noun,A1,Kids,0,2,countries,0
144,1000,old,/oʊld/,"già, cũ, cổ, lâu năm",Adjective,Adjective|Noun,A1,Kids,0,4,older oldest olds,0
145,1000,each,/iːtʃ/,"mỗi, từng, mỗi cái",Determiner,Determiner|Pronoun|Adjective|Noun,A1,Grammar,1,1,,0
146,1000,school,/skuːl/,"trường học, nhà trường, trường",Noun,Noun|Verb,A1,Kids,0,5,schools schooled schooling schoolings,0
147,1000,late,/leɪt/,"muộn, trễ, chậm",Adjective,Adjective,A1,Kids,0,3,later latest,0
148,1000,high,/haɪ/,"cao, cao cấp, cao độ",Adjective,Adjective|Adverb|Noun,A1,Kids,0,4,higher highest highs,0
149,1000,different,/ˈdɪfərənt/,"khác, khác nhau, khác biệt",Adjective,Adjective,A1,Kids,0,1,,0
150,1000,off,/ɔːf/,"khỏi, rời khỏi, cách xa",Preposition,Adverb|Preposition|Adjective|Noun|Verb|Interjection,A1,Grammar,1,4,offs offed offing,0
151,1000,next,/nɛkst/,"tiếp theo, kế tiếp, sau",Adjective,Adjective|Adverb|Noun,A1,Kids,0,1,,0
152,1000,end,/ɛnd/,"sự kết thúc, phần cuối, đoạn cuối",Noun,Noun|Verb,A1,Kids,0,4,ends ended ending,0
153,1000,live,/laɪv/,"sống, sinh sống, cư trú",Verb,Verb|Adjective,A1,Kids,0,4,lives lived living,0
154,1000,why,/waɪ/,"tại sao, vì sao, lý do gì",Adverb,Adverb|Noun|Interjection,A1,Kids,0,1,,0
155,1000,while,/waɪl/,"trong khi, trong lúc, còn",Conjunction,Noun|Verb|Conjunction,A1,Grammar,1,4,whiles whiled whiling,0
156,1000,world,/wɜːrld/,"thế giới, thế gian, cõi đời",Noun,Noun,A1,Kids,0,2,worlds,0
157,1000,week,/wiːk/,"tuần, tuần lễ, một tuần",Noun,Noun,A1,Kids,0,2,weeks,0
158,1000,play,/pleɪ/,"chơi, chơi đùa, diễn",Verb,Noun|Verb,A1,Kids,0,4,plays played playing,0
159,1000,might,/maɪt/,"có thể, có lẽ, biết đâu",Auxiliary,Auxiliary|Noun,A1,Grammar,1,3,mightn mighta,0
160,1000,must,/mʌst/,"phải, cần phải, chắc hẳn",Auxiliary,Auxiliary|Verb|Noun|Adjective,A1,Grammar,1,3,mustn musta,0
161,1000,home,/hoʊm/,"nhà, gia đình, quê hương",Noun,Noun|Adjective|Adverb|Verb,A1,Kids,0,4,homes homed homing,0
162,1000,never,/ˈnɛvər/,"không bao giờ, chẳng bao giờ",Adverb,Adverb,A1,Kids,0,1,,0
163,1000,include,/ˌɪnˈkluːd/,"bao gồm, gồm có, tính cả",Verb,Verb,A1,Kids,0,4,includes included including,0
164,1000,course,/kɔːrs/,"khóa học, môn học; lộ trình",Noun,Noun|Verb,A1,Kids,0,4,courses coursed coursing,1
165,1000,house,/haʊs/,"ngôi nhà, nhà ở, tòa nhà",Noun,Noun|Verb,A1,Kids,0,5,houses housed housing housings,0
166,1000,report,/riˈpɔːrt/,"báo cáo, bản tường trình",Noun,Noun|Verb,A1,Kids,0,4,reports reported reporting,0
167,1000,group,/ɡruːp/,"nhóm, tập thể, tổ",Noun,Noun|Verb,A1,Kids,0,4,groups grouped grouping,0
168,1000,case,/keɪs/,"trường hợp, vụ việc, hộp đựng",Noun,Noun|Verb,A1,Kids,0,5,cases cased casing casings,0
169,1000,woman,/ˈwʊmən/,"phụ nữ, người đàn bà, cô",Noun,Noun,A1,Kids,0,2,women,0
170,1000,around,/ərˈaʊnd/,"quanh, xung quanh, khoảng",Preposition,Adverb|Preposition,A1,Grammar,1,1,,0
171,1000,book,/bʊk/,"sách, cuốn sách, quyển vở",Noun,Noun|Verb,A1,Kids,0,5,books booked booking bookings,0
172,1000,family,/ˈfæməli/,"gia đình, họ hàng, dòng họ",Noun,Noun,A1,Kids,0,2,families,0
173,1000,seem,/siːm/,"có vẻ, dường như, tỏ ra",Verb,Verb,A1,Kids,0,4,seems seemed seeming,0
174,1000,let,/lɛt/,"để cho, cho phép, hãy",Verb,Noun|Verb,A1,Kids,0,5,lets letting lemme lettings,0
175,1000,again,/əˈɡɛn/,"lại, lần nữa, một lần nữa",Adverb,Adverb,A1,Kids,0,1,,0
176,1000,kind,/kaɪnd/,"loại, kiểu, hạng",Noun,Noun|Adjective,A1,Kids,0,4,kinds kinder kindest,0
177,1000,keep,/kiːp/,"giữ, giữ gìn, tiếp tục",Verb,Verb|Noun,A1,Kids,0,4,keeps keeping kept,0
178,1000,hear,/hiːr/,"nghe, nghe thấy, nghe tin",Verb,Verb,A1,Kids,0,5,hears heard hearing hearings,0
179,1000,system,/ˈsɪstəm/,"hệ thống, chế độ, hệ",Noun,Noun,A1,Kids,0,2,systems,0
180,1000,every,/ˈɛvəri/,"mỗi, mọi, từng cái",Determiner,Determiner|Adjective,A1,Grammar,1,1,,0
181,1000,question,/ˈkwɛstʃən/,"câu hỏi, vấn đề, thắc mắc",Noun,Noun|Verb,A1,Kids,0,5,questions questioned questioning questionings,0
182,1000,during,/ˈdʊrɪŋ/,"trong, trong suốt, trong khi",Preposition,Preposition|Noun,A1,Grammar,1,1,,0
183,1000,always,/ˈɔːlˌweɪz/,"luôn luôn, lúc nào cũng",Adverb,Adverb,A1,Kids,0,1,,0
184,1000,big,/bɪɡ/,"to, lớn, to lớn",Adjective,Adjective|Adverb,A1,Kids,0,3,bigger biggest,0
185,1000,set,/sɛt/,"đặt, để, thiết lập",Verb,Noun|Verb|Adjective,A1,Kids,0,4,sets setting settings,0
186,1000,small,/smɔːl/,"nhỏ, bé, nhỏ bé",Adjective,Adjective|Noun|Adverb,A1,Kids,0,3,smaller smallest,0
187,1000,study,/ˈstʌdi/,"học, học tập, nghiên cứu",Verb,Noun|Verb,A1,Kids,0,4,studies studied studying,0
188,1000,follow,/ˈfɑːloʊ/,"theo, đi theo, tuân theo",Verb,Noun|Verb,A1,Kids,0,5,follows followed following followings,0
189,1000,begin,/bɪˈɡɪn/,"bắt đầu, khởi đầu, mở đầu",Verb,Verb,A1,Kids,0,6,begins began beginning begun beginnings,0
190,1000,important,/ˌɪmˈpɔːrtənt/,"quan trọng, hệ trọng, đáng kể",Adjective,Adjective,A1,Kids,0,1,,0
191,1000,since,/sɪns/,"từ khi, kể từ khi; bởi vì",Conjunction,Adverb|Preposition|Conjunction,A1,Grammar,1,1,,1
192,1000,run,/rʌn/,"chạy; vận hành, điều hành",Verb,Noun|Verb,A1,Kids,0,4,runs ran running,1
193,1000,under,/ˈʌndər/,"dưới, ở dưới, dưới quyền",Preposition,Preposition|Adverb|Adjective,A1,Grammar,1,1,,0
194,1000,turn,/tɜːrn/,"quay, xoay, rẽ, biến thành",Verb,Noun|Verb,A1,Kids,0,4,turns turned turning,0
195,1000,few,/fjuː/,"ít, vài, một vài",Determiner,Determiner|Adjective|Noun,A1,Grammar,1,3,fewer fewest,0
196,1000,bring,/brɪŋ/,"mang, đem, mang lại",Verb,Verb,A1,Kids,0,4,brings brought bringing,0
197,1000,early,/ˈɜːrli/,"sớm, đầu, ban đầu",Adjective,Adjective|Adverb,A1,Kids,0,3,earlier earliest,0
198,1000,hand,/hænd/,"bàn tay, tay, sự giúp đỡ",Noun,Noun|Verb,A1,Kids,0,4,hands handed handing,0
199,1000,state,/steɪt/,"bang, nhà nước; trạng thái",Noun,Noun|Pronoun|Adjective|Verb,A1,Kids,0,4,states stated stating,1
200,1000,move,/muːv/,"di chuyển, dời, chuyển động",Verb,Noun|Verb,A1,Kids,0,4,moves moved moving,0
201,1000,money,/ˈmʌni/,"tiền, tiền bạc, tiền của",Noun,Noun,A1,Kids,0,2,moneys,0
202,1000,fact,/fækt/,"sự thật, thực tế, sự kiện",Noun,Noun,A1,Kids,0,2,facts,0
203,1000,however,/ˌhaʊˈɛvər/,"tuy nhiên, tuy vậy, dù sao",Adverb,Adverb|Conjunction,A1,Kids,0,1,,0
204,1000,area,/ˈɛriə/,"khu vực, vùng, diện tích",Noun,Noun,A1,Kids,0,2,areas,0
205,1000,provide,/prəˈvaɪd/,"cung cấp, chu cấp, cung ứng",Verb,Verb,A1,Kids,0,4,provides provided providing,0
206,1000,name,/neɪm/,"tên, tên gọi, danh tiếng",Noun,Noun|Verb,A1,Kids,0,4,names named naming,0
207,1000,read,/rɛd/,"đọc, đọc hiểu, xem",Verb,Verb|Noun|Adjective,A1,Kids,0,4,reads reading readings,0
208,1000,friend,/frɛnd/,"bạn, bạn bè, người bạn",Noun,Noun|Verb,A1,Kids,0,2,friends,0
209,1000,month,/mʌnθ/,"tháng, tháng trời",Noun,Noun,A1,Kids,0,2,months,0
210,1000,large,/lɑːrdʒ/,"lớn, to, rộng lớn",Adjective,Adjective|Noun|Adverb,A1,Kids,0,3,larger largest,0
211,1000,business,/ˈbɪznəs/,"kinh doanh, doanh nghiệp, việc làm ăn",Noun,Noun,A1,Kids,0,2,businesses,0
